Shape Class,Filename,Number of Vertices,Number of Faces,Face Types,Bounding Box Min,Bounding Box Max
Apartment,m464.obj,8301,12810,Only triangles,[0.025 0.025 0.025],[0.347449   0.97500002 0.296305  ]
Apartment,m465.obj,2335,4363,Only triangles,[0.025 0.025 0.025],[0.21702    0.97500002 0.25152299]
AquaticAnimal,m53.obj,18409,34877,Only triangles,[0.025 0.025 0.025],[0.163371   0.34876099 0.97500002]
AquaticAnimal,m54.obj,18143,33836,Only triangles,[0.025 0.025 0.025],[0.254899   0.37114301 0.97500002]
AquaticAnimal,m55.obj,19505,37072,Only triangles,[0.025 0.025 0.025],[0.18151    0.380146   0.97500002]
AquaticAnimal,m56.obj,5814,10893,Only triangles,[0.025 0.025 0.025],[0.168956   0.367452   0.97500002]
AquaticAnimal,m57.obj,18878,36278,Only triangles,[0.025 0.025 0.025],[0.14396299 0.38944301 0.97500002]
AquaticAnimal,m58.obj,477,950,Only triangles,[0.025 0.025 0.025],[0.537049   0.500211   0.97500002]
AquaticAnimal,m59.obj,44,1680,Only triangles,[0.025 0.025 0.025],[0.22499999 0.22499999 0.97500002]
AquaticAnimal,m60.obj,1606,3208,Only triangles,[0.025 0.025 0.025],[0.348674   0.407675   0.97500002]
AquaticAnimal,m61.obj,216,337,Only triangles,[0.025 0.025 0.025],[0.18742999 0.443396   0.97500002]
AquaticAnimal,m62.obj,241,478,Only triangles,[0.025 0.025 0.025],[0.131276   0.74917799 0.97500002]
AquaticAnimal,m63.obj,1112,1792,Only triangles,[0.025 0.025 0.025],[0.97500002 0.72454101 0.77723801]
AquaticAnimal,m64.obj,247,444,Only triangles,[0.025 0.025 0.025],[0.97500002 0.54508698 0.1789    ]
AquaticAnimal,m65.obj,1004,1930,Only triangles,[0.025 0.025 0.025],[0.39981601 0.60459501 0.97500002]
AquaticAnimal,m66.obj,4117,8196,Only triangles,[0.025 0.025 0.025],[0.445705   0.547553   0.97500002]
AquaticAnimal,m67.obj,14000,27996,Only triangles,[0.025 0.025 0.025],[0.97500002 0.24969999 0.38898799]
AquaticAnimal,m68.obj,553,1098,Only triangles,[0.025 0.025 0.025],[0.97500002 0.278519   0.18742999]
AquaticAnimal,m69.obj,317,560,Only triangles,[0.025 0.025 0.025],[0.35732499 0.26477599 0.97500002]
AquaticAnimal,m70.obj,320,560,Only triangles,[0.025 0.025 0.025],[0.45441499 0.266076   0.97500002]
AquaticAnimal,m71.obj,420,836,Only triangles,[0.025 0.025 0.025],[0.32598999 0.371535   0.97500002]
AquaticAnimal,m72.obj,331,590,Only triangles,[0.025 0.025 0.025],[0.45620301 0.26282799 0.97500002]
AquaticAnimal,m73.obj,285,564,Only triangles,[0.025 0.025 0.025],[0.97500002 0.610865   0.37618101]
AquaticAnimal,m74.obj,162,336,Only triangles,[0.025 0.025 0.025],[0.35445499 0.321596   0.97500002]
AquaticAnimal,m75.obj,298,512,Only triangles,[0.025 0.025 0.025],[0.53838402 0.29931101 0.97500002]
AquaticAnimal,m76.obj,1583,3164,Only triangles,[0.025 0.025 0.025],[0.39592999 0.35314    0.97500002]
AquaticAnimal,m77.obj,11578,23022,Only triangles,[0.025 0.025 0.025],[0.97500002 0.407994   0.61120301]
AquaticAnimal,m78.obj,468,734,Only triangles,[0.025 0.025 0.025],[0.97500002 0.51665002 0.42818099]
AquaticAnimal,m79.obj,166,226,Only triangles,[0.025 0.025 0.025],[0.97500002 0.25617099 0.30095801]
AquaticAnimal,m80.obj,1104,2104,Only triangles,[0.025 0.025 0.025],[0.97500002 0.30888301 0.41600099]
AquaticAnimal,m81.obj,857,1673,Only triangles,[0.025 0.025 0.025],[0.4145     0.29100001 0.97500002]
Bed,D00031.obj,1867,3590,Only triangles,[-0.66966599 -0.70846301 -0.26750299],[0.930426   0.72653401 0.31219301]
Bed,D00110.obj,1926,3644,Only triangles,[-0.88889998 -0.71848398 -0.22001401],[0.75222999 0.524562   0.33970499]
Bed,D00121.obj,15368,24612,Only triangles,[-0.912283   -0.59966898 -0.482021  ],[0.78579003 0.858504   0.463209  ]
Bed,D00184.obj,7218,14204,Only triangles,[-0.937684   -0.89132899 -0.46636099],[0.75000203 0.66460198 0.341943  ]
Bed,D00210.obj,22063,34247,Only triangles,[-0.66788697 -0.53268802 -0.41255501],[0.81694001 0.86673099 0.546372  ]
Bed,D00213.obj,2277,4536,Only triangles,[-0.95507902 -0.36531901 -0.375599  ],[0.74750102 0.50444001 0.27562499]
Bed,D00217.obj,3238,6272,Only triangles,[-0.842601   -0.54509002 -0.30379999],[0.88159198 0.41161901 0.42254901]
Bed,D00307.obj,2644,5259,Only triangles,[-0.820216 -0.833938 -0.213808],[0.99169898 0.87210602 0.392634  ]
Bed,D00322.obj,9342,14796,Only triangles,[-0.94313997 -0.41553599 -0.52095503],[0.86400098 0.59924501 0.52060199]
Bed,D00417.obj,12808,24736,Only triangles,[-0.79988801 -0.50940698 -0.37475801],[0.79604602 0.66808301 0.302302  ]
Bed,D00538.obj,7136,13868,Only triangles,[-0.83824599 -0.47965801 -0.325735  ],[0.83859998 0.702627   0.411787  ]
Bed,D00545.obj,415,838,Only triangles,[-0.83273399 -0.47966999 -0.39825001],[0.87678403 0.74741203 0.34633401]
Bed,D00552.obj,6349,12251,Only triangles,[-1.05698001 -0.71904498 -0.46445599],[0.48962501 0.71651    0.232915  ]
Bed,D00565.obj,826,1628,Only triangles,[-1.08588004 -0.60561299 -0.37501901],[0.60298198 0.71859401 0.18043099]
Bed,D00650.obj,3752,7443,Only triangles,[-0.86373299 -0.550605   -0.42155901],[0.83315402 0.37753201 0.28201899]
Bed,D00735.obj,453,684,Only triangles,[-0.64492297 -0.684425   -0.312594  ],[1.11344004 0.73777002 0.47614601]
Bed,D00836.obj,1563,3154,Only triangles,[-0.79586399 -0.365307   -0.304602  ],[0.91909701 0.51245898 0.597853  ]
Bed,D00839.obj,16364,32648,Only triangles,[-0.80064797 -0.87728697 -0.351917  ],[0.86439502 0.56977201 0.29077101]
Bed,D00969.obj,13151,23918,Only triangles,[-0.90697902 -0.92830402 -0.466867  ],[0.798208   0.56939101 0.37939501]
Bed,D00988.obj,768,624,Only triangles,[-0.86788797 -0.72632599 -0.517681  ],[0.81550902 0.42640701 0.208921  ]
Bed,m945.obj,8116,15659,Only triangles,[0.025 0.025 0.025],[0.740004   0.81337798 0.97500002]
Bed,m946.obj,449,644,Only triangles,[0.025 0.025 0.025],[0.494149   0.494147   0.97500002]
Bed,m947.obj,441,584,Only triangles,[0.025 0.025 0.025],[0.72199398 0.445454   0.97500002]
Bed,m948.obj,4597,9038,Only triangles,[0.025 0.025 0.025],[0.97500002 0.89338201 0.96140802]
Bed,m949.obj,706,1388,Only triangles,[0.025 0.025 0.025],[0.95620698 0.97500002 0.48995399]
Bed,m950.obj,437,724,Only triangles,[0.025 0.025 0.025],[0.76938403 0.88922697 0.97500002]
Bed,m951.obj,363,572,Only triangles,[0.025 0.025 0.025],[0.79794699 0.53675199 0.97500002]
Bicycle,D00016.obj,2769,5049,Only triangles,[-0.91429901 -0.44062001 -0.20993499],[0.95995498 0.818183   0.177847  ]
Bicycle,D00033.obj,2192,4448,Only triangles,[-1.06519997 -0.38930801 -0.28162599],[0.87872398 0.70461702 0.31001499]
Bicycle,D00040.obj,25426,50650,Only triangles,[-0.94097    -0.45816201 -0.31764001],[0.96382397 0.74480802 0.31560099]
Bicycle,D00077.obj,16416,32265,Only triangles,[-0.84669203 -0.65806401 -0.36376101],[1.04490995 0.48678499 0.28897399]
Bicycle,D00078.obj,22674,44740,Only triangles,[-1.01698005 -0.59637702 -0.36512199],[0.86983001 0.758111   0.35841799]
Bicycle,D00462.obj,56754,111471,Only triangles,[-0.98143202 -0.59399098 -0.276838  ],[0.93342602 0.61116898 0.23777001]
Bicycle,D00514.obj,6951,12939,Only triangles,[-1.00040996 -0.55413097 -0.218428  ],[0.86770099 0.69775099 0.17828999]
Bicycle,D00536.obj,30832,60488,Only triangles,[-0.88570601 -0.55203402 -0.45988199],[1.02260995 0.67922097 0.43712899]
Bicycle,D00555.obj,34364,64544,Only triangles,[-0.953013   -0.49476001 -0.33326101],[0.973589   0.75789499 0.35456601]
Bicycle,D00558.obj,19417,37661,Only triangles,[-1.01427996 -0.539415   -0.28349099],[0.938784   0.58458298 0.236967  ]
Bicycle,D00567.obj,436,916,Only triangles,[-0.92379898 -0.50374299 -0.28864601],[0.991099   0.68967903 0.26694801]
Bicycle,D00621.obj,2769,5049,Only triangles,[-0.91480398 -0.72066098 -0.212118  ],[0.95686901 0.54977298 0.17542601]
Bicycle,D00708.obj,22495,44110,Only triangles,[-0.99387199 -0.56247002 -0.30788699],[0.94201797 0.649391   0.28076601]
Bicycle,D00750.obj,3053,5484,Only triangles,[-0.81155902 -0.818838   -0.167292  ],[1.10337996 0.73637199 0.43965599]
Bicycle,D00838.obj,23397,45925,Only triangles,[-0.94297397 -0.63804501 -0.29806101],[0.97194397 0.560247   0.28424901]
Bicycle,D00847.obj,22672,44707,Only triangles,[-0.93240702 -0.58927602 -0.36131701],[0.97391498 0.73202598 0.36190599]
Bicycle,D00904.obj,5354,10548,Only triangles,[-0.95989603 -0.599316   -0.196088  ],[0.953013   0.63740599 0.19129799]
Bicycle,D00930.obj,29173,57224,Only triangles,[-0.738729   -0.51994997 -0.34259999],[0.99400598 0.85275102 0.33715799]
Bicycle,D00931.obj,32603,64230,Only triangles,[-0.920573   -0.40091899 -0.43294799],[0.84982902 0.68404901 0.135958  ]
Bicycle,D00974.obj,6045,12065,Only triangles,[-0.84332597 -0.58387899 -0.210511  ],[1.05062997 0.550897   0.209059  ]
Bicycle,m1472.obj,524,846,Only triangles,[0.025 0.025 0.025],[0.40645799 0.56681597 0.97500002]
Bicycle,m1473.obj,2192,4448,Only triangles,[0.025 0.025 0.025],[0.97500002 0.557643   0.314071  ]
Bicycle,m1475.obj,6049,12065,Only triangles,[0.025 0.025 0.025],[0.97500002 0.51344901 0.232333  ]
Bicycle,m1476.obj,436,916,Only triangles,[0.025 0.025 0.025],[0.29967499 0.57472301 0.97500002]
Bicycle,m1477.obj,22682,44727,Only triangles,[0.025 0.025 0.025],[0.97500002 0.61604601 0.37603101]
Bicycle,m1478.obj,2769,5049,Only triangles,[0.025 0.025 0.025],[0.97500002 0.61166602 0.22357599]
Biplane,D00069.obj,3242,6326,Only triangles,[-1.06342006 -0.44684201 -0.198847  ],[0.905137   0.55344599 0.199738  ]
Biplane,D00132.obj,287,348,Only triangles,[-0.94887203 -0.41678199 -0.129309  ],[0.94732201 0.85260999 0.255501  ]
Biplane,D00178.obj,10942,8057,Only triangles,[-0.58052301 -0.46920201 -0.176893  ],[0.48715299 0.59244502 0.125855  ]
Biplane,D00199.obj,2584,3764,Only triangles,[-1.01653004 -0.38885999 -0.234302  ],[0.91560602 1.07596004 0.33911601]
Biplane,D00246.obj,14082,9353,Only triangles,[-0.984595 -0.395955 -0.193048],[0.998878   0.63208199 0.139304  ]
Biplane,D00276.obj,567,916,Only triangles,[-1.08018005 -0.86486101 -0.46888301],[0.699036   0.76639402 0.47753799]
Biplane,D00277.obj,22427,41567,Only triangles,[-0.55781698 -1.05515003 -0.27862099],[0.804851 0.813411 0.268756]
Biplane,D00320.obj,9723,17476,Only triangles,[-0.99010599 -0.75142002 -0.152266  ],[0.98460603 0.427939   0.303238  ]
Biplane,D00373.obj,5941,12536,Only triangles,[-0.666583   -0.96762002 -0.37691799],[0.86390501 0.930583   0.245878  ]
Biplane,D00410.obj,2167,4254,Only triangles,[-1.14980006 -0.57153398 -0.231691  ],[0.77242702 0.608046   0.17326599]
Biplane,D00490.obj,24998,46318,Only triangles,[-0.858495   -0.55502403 -0.26707   ],[0.97072399 0.71054101 0.21474899]
Biplane,D00515.obj,5381,10522,Only triangles,[-0.89007801 -0.88951701 -0.31531999],[0.68793398 0.86381102 0.254273  ]
Biplane,D00601.obj,18086,36024,Only triangles,[-0.80746102 -0.49454001 -0.35062301],[0.82088101 0.784118   0.44723499]
Biplane,D00616.obj,20306,37102,Only triangles,[-1.03189003 -0.59596401 -0.192579  ],[0.95107001 0.339843   0.186078  ]
Biplane,D00632.obj,624,1024,Only triangles,[-0.845186   -0.93674999 -0.23671301],[0.62887901 0.93570101 0.31753099]
Biplane,D00634.obj,48973,77264,Only triangles,[-0.95804602 -0.73813802 -0.33632499],[0.97688198 0.79666799 0.25928301]
Biplane,D00666.obj,469,794,Only triangles,[-1.22451997 -0.94674301 -0.26614201],[0.69336402 0.96232802 0.179309  ]
Biplane,D00854.obj,18966,37292,Only triangles,[-0.96707302 -0.95319599 -0.19103301],[0.454312 0.980111 0.354826]
Biplane,D00890.obj,45079,47490,Only triangles,[-0.88916898 -0.83705902 -0.25933599],[0.88217503 0.766087   0.32111201]
Biplane,D00900.obj,27750,49863,Only triangles,[-1.17911005 -0.89722699 -0.179258  ],[0.80535501 0.48277301 0.27599299]
Biplane,m1118.obj,10676,20408,Only triangles,[0.025 0.025 0.025],[0.97500002 0.23162299 0.52688402]
Biplane,m1119.obj,863,1550,Only triangles,[0.025 0.025 0.025],[0.97500002 0.379325   0.81527102]
Biplane,m1120.obj,65722,129881,Only triangles,[0.025 0.025 0.025],[0.97500002 0.37003699 0.889139  ]
Biplane,m1121.obj,1062,1913,Only triangles,[0.025 0.025 0.025],[0.79224801 0.97500002 0.328749  ]
Biplane,m1122.obj,6704,11577,Only triangles,[0.025 0.025 0.025],[0.93572003 0.97500002 0.304519  ]
Biplane,m1123.obj,1015,1756,Only triangles,[0.025 0.025 0.025],[0.69767499 0.97500002 0.318427  ]
Biplane,m1124.obj,390,572,Only triangles,[0.025 0.025 0.025],[0.63308197 0.97500002 0.24074601]
Biplane,m1125.obj,434,656,Only triangles,[0.025 0.025 0.025],[0.79908198 0.97500002 0.27437499]
Biplane,m1126.obj,770,1316,Only triangles,[0.025 0.025 0.025],[0.78813398 0.97500002 0.23610599]
Biplane,m1127.obj,354,520,Only triangles,[0.025 0.025 0.025],[0.81105298 0.97500002 0.219704  ]
Biplane,m1128.obj,718,1232,Only triangles,[0.025 0.025 0.025],[0.97500002 0.96708697 0.241951  ]
Biplane,m1129.obj,3351,6272,Only triangles,[0.025 0.025 0.025],[0.97500002 0.346551   0.69950801]
Biplane,m1131.obj,482,768,Only triangles,[0.025 0.025 0.025],[0.70561802 0.97500002 0.196732  ]
Biplane,m1132.obj,882,1428,Only triangles,[0.025 0.025 0.025],[0.7227     0.97500002 0.209765  ]
Biplane,m1133.obj,624,1024,Only triangles,[0.025 0.025 0.025],[0.76974702 0.97500002 0.31121701]
Biplane,m1134.obj,338,512,Only triangles,[0.025 0.025 0.025],[0.54238802 0.97500002 0.1732    ]
Biplane,m1135.obj,264,360,Only triangles,[0.025 0.025 0.025],[0.54590702 0.97500002 0.18104701]
Biplane,m1136.obj,904,1628,Only triangles,[0.025 0.025 0.025],[0.55910802 0.97500002 0.23333301]
Biplane,m1137.obj,408,524,Only triangles,[0.025 0.025 0.025],[0.461983   0.97500002 0.199618  ]
Biplane,m1138.obj,2050,3586,Only triangles,[0.052495 0.025    0.025   ],[0.97500002 0.90703398 0.37788701]
Biplane,m1139.obj,2920,4234,Only triangles,[0.025 0.025 0.025],[0.647434   0.97500002 0.27438399]
Biplane,m1141.obj,11819,23138,Only triangles,[0.025 0.025 0.025],[0.97500002 0.310844   0.62002999]
Biplane,m1143.obj,3336,6570,Only triangles,[0.025 0.025 0.025],[0.50449502 0.97500002 0.209713  ]
Biplane,m1144.obj,3627,6736,Only triangles,[0.025 0.025 0.025],[0.97500002 0.716901   0.29130399]
Biplane,m1146.obj,1700,3016,Only triangles,[0.025 0.025 0.025],[0.88836002 0.32216001 0.97500002]
Bird,D00089.obj,233,462,Only triangles,[-1.16401005 -0.56262302 -0.31481701],[0.785119   0.50785798 0.154772  ]
Bird,D00113.obj,15871,31702,Only triangles,[-0.98978102 -0.56577802 -0.55795199],[0.72967601 0.95718098 0.60262197]
Bird,D00164.obj,8188,16135,Only triangles,[-0.69237798 -0.49835101 -0.400888  ],[1.18953001 0.59852397 0.105716  ]
Bird,D00234.obj,1247,2468,Only triangles,[-0.92821902 -0.96680099 -0.185647  ],[0.94752097 0.62576801 0.258145  ]
Bird,D00271.obj,12813,24753,Only triangles,[-1.17434001 -0.67701    -0.192772  ],[0.73551601 0.63324702 0.20922001]
Bird,D00284.obj,13253,26516,Only triangles,[-1.17688    -0.42264399 -0.26697701],[0.723095   0.60882801 0.20210101]
Bird,D00323.obj,260,364,Only triangles,[-0.77768201 -0.188336   -0.049014  ],[1.19868994 0.34331501 0.043661  ]
Bird,D00386.obj,1751,3498,Only triangles,[-1.05761898 -0.28625199 -0.13273101],[0.81089401 0.35376701 0.073903  ]
Bird,D00438.obj,1824,3709,Only triangles,[-1.18693995 -0.54567403 -0.19494399],[0.78627503 0.37130699 0.064915  ]
Bird,D00442.obj,9745,17119,Only triangles,[-0.87431198 -0.61702102 -0.37487   ],[0.91139501 0.504857   0.52560699]
Bird,D00546.obj,1162,2012,Only triangles,[-1.23614001 -0.288082   -0.248996  ],[0.71536201 0.40847701 0.15049601]
Bird,D00599.obj,1792,3626,Only triangles,[-1.20738995 -0.45223701 -0.05299   ],[0.749861   0.29001099 0.15761399]
Bird,D00625.obj,1091,1398,Only triangles,[-0.75788701 -0.80340099 -0.70572698],[1.14985502 0.63740999 0.286246  ]
Bird,D00689.obj,2683,5388,Only triangles,[-1.17894006 -0.37730601 -0.199     ],[0.76714098 0.24427    0.34081799]
Bird,D00736.obj,3947,7898,Only triangles,[-1.17941999 -0.46289399 -0.198137  ],[0.79848897 0.49026999 0.084683  ]
Bird,D00762.obj,950,1896,Only triangles,[-1.04530001 -0.72366399 -0.38712299],[0.74959397 0.858881   0.26473901]
Bird,D00862.obj,757,1507,Only triangles,[-0.75040197 -0.536856   -0.40675601],[1.22133005 0.40871    0.099096  ]
Bird,D00922.obj,903,1794,Only triangles,[-0.72486699 -0.53653097 -0.391794  ],[1.03104997 0.78013003 0.50343698]
Bird,D00961.obj,1344,2734,Only triangles,[-1.19013095 -0.68432802 -0.061147  ],[0.79299998 0.44463101 0.192211  ]
Bird,D00999.obj,373,744,Only triangles,[-1.23089004 -0.31741899 -0.093164  ],[0.76523697 0.37941    0.17819101]
Bird,m28.obj,6076,11660,Only triangles,[0.025 0.025 0.025],[0.46868101 0.578224   0.97500002]
Bird,m29.obj,2972,5878,Only triangles,[0.025 0.025 0.025],[0.34673801 0.91468197 0.97500002]
Bird,m30.obj,390,800,Only triangles,[0.025 0.025 0.025],[0.35945001 0.52474898 0.97500002]
Bird,m31.obj,1802,3548,Only triangles,[0.025 0.025 0.025],[0.50084698 0.97500002 0.514588  ]
Bird,m32.obj,1129,2246,Only triangles,[0.025 0.025 0.025],[0.382772   0.658333   0.97500002]
Bird,m33.obj,3144,6164,Only triangles,[0.025 0.025 0.025],[0.54149801 0.69245601 0.97500002]
Bird,m34.obj,233,462,Only triangles,[0.025 0.025 0.025],[0.97500002 0.25715399 0.54429299]
Bird,m35.obj,699,1394,Only triangles,[0.025 0.025 0.025],[0.792373   0.63608003 0.97500002]
Bird,m36.obj,1289,2503,Only triangles,[0.025 0.025 0.025],[0.94454098 0.80892199 0.97500002]
Bird,m37.obj,567,1130,Only triangles,[0.025 0.025 0.025],[0.97500002 0.43725801 0.74620301]
Bird,m38.obj,464,928,Only triangles,[0.025 0.025 0.025],[0.97500002 0.260681   0.29260901]
Bird,m39.obj,649,1156,Only triangles,[0.025 0.025 0.025],[0.88357401 0.97500002 0.25955701]
Bird,m40.obj,2684,5390,Only triangles,[0.025 0.025 0.025],[0.97500002 0.28484499 0.34787899]
Bird,m41.obj,1824,3709,Only triangles,[0.025 0.025 0.025],[0.97500002 0.147249   0.46771601]
Bird,m42.obj,116,265,Only triangles,[0.025 0.025 0.025],[0.97500002 0.210109   0.49704301]
Bird,m43.obj,41,54,Only triangles,[0.025 0.025 0.025],[0.92710602 0.60616601 0.97500002]
Bird,m44.obj,401,798,Only triangles,[0.025 0.025 0.025],[0.97500002 0.45883301 0.26629999]
Bird,m45.obj,16542,33072,Only triangles,[0.025 0.025 0.025],[0.97500002 0.29034799 0.486435  ]
Bird,m47.obj,101,165,Only triangles,[0.025 0.025 0.025],[0.69580299 0.14815401 0.97500002]
Bird,m48.obj,427,824,Only triangles,[0.025 0.025 0.025],[0.48802501 0.45609301 0.97500002]
Bird,m49.obj,2329,4364,Only triangles,[0.025 0.025 0.025],[0.97500002 0.80099201 0.69110101]
Bird,m50.obj,93,182,Only triangles,[0.025 0.025 0.025],[0.406048   0.56428301 0.97500002]
Bird,m51.obj,309,598,Only triangles,[0.025 0.025 0.025],[0.97500002 0.479684   0.55168802]
Bird,m52.obj,294,560,Only triangles,[0.025 0.025 0.025],[0.97500002 0.62066698 0.909953  ]
Bookset,D01009.obj,444,3156,Only triangles,[0. 0. 0.],[0.41999999 0.25999999 0.27000001]
Bookset,D01013.obj,320,816,Only triangles,[-0.050712    0.20768601  0.        ],[0.215194 0.665613 0.2798  ]
Bookset,D01030.obj,208,1152,Only triangles,[0. 0. 0.],[0.42172101 0.306934   0.34747201]
Bookset,D01038.obj,2208,14844,Only triangles,[4.96970892 3.42497396 0.37465   ],[5.19411421 4.39183903 0.73786998]
Bookset,D01042.obj,668,2373,Only triangles,[-1.91084898  0.67838901 -0.056548  ],[-1.67316902  0.88597298  0.221452  ]
Bookset,D01050.obj,140,780,Only triangles,[0. 0. 0.],[0.27527401 0.28955999 0.318973  ]
Bookset,D01065.obj,360,918,Only triangles,[ 3.38711596e+00  4.48334992e-01 -3.99999990e-04],[3.88854098 0.71424103 0.27939999]
Bookset,D01078.obj,1203,6861,Only triangles,[0.27399901 0.229734   0.        ],[0.58086801 0.350384   0.17145   ]
Bookset,D01096.obj,624,2544,Only triangles,[0. 0. 0.],[0.53484797 0.29725999 0.30049601]
Bookset,D01108.obj,1628,9798,Only triangles,[0.172598   0.055124   1.61645293],[0.33360401 0.45399699 1.88955808]
Bookset,D01109.obj,1203,6861,Only triangles,[0. 0. 0.],[0.21717    0.306869   0.26917699]
Bookset,D01110.obj,166,936,Only triangles,[0. 0. 0.],[0.268736   0.28955999 0.34747201]
Bookset,D01122.obj,110,624,Only triangles,[ 0.       -0.020638  0.      ],[0.19800401 0.105497   0.145403  ]
Bookset,D01135.obj,1645,10185,Only triangles,[-0.32108301 -0.215404   -0.009347  ],[10.18149662  4.38126612  5.03625584]
Bookset,D01146.obj,2694,7149,Only triangles,[2.26339006 2.04348993 0.        ],[2.53891993 2.33330011 0.318973  ]
Bookset,D01182.obj,188,1020,Only triangles,[-0.108086  0.013947  0.      ],[0.072563   0.24628501 0.24173   ]
Bookset,D01183.obj,891,3231,Only triangles,[ 1.03899300e+00 -2.16592997e-01 -8.09999983e-05],[2.95548606 0.96567798 1.73270893]
Bookset,D01184.obj,247,1557,Only triangles,[ 0. -0.  0.],[0.19100299 0.230709   0.32661799]
