Shape Class,Filename,Number of Vertices,Number of Faces,Face Types,Bounding Box Min,Bounding Box Max
Bed,D00552.obj,10077,19821,Only triangles,[-0.388825   -0.17053001 -0.276728  ],[0.50744998 0.82946998 0.21137001]
Bed,D00565.obj,10002,19996,Only triangles,[-0.29071    -0.34982401 -0.0927514 ],[0.70929003 0.49346599 0.181137  ]
Bed,D00650.obj,10002,19945,Only triangles,[-0.49770901 -0.26330501 -0.173252  ],[0.50229102 0.258468   0.22698601]
Bed,D00735.obj,9938,19900,Only triangles,[-0.22640701 -0.333087   -0.22432899],[0.77359301 0.357824   0.257642  ]
Bed,D00836.obj,9990,20043,Only triangles,[-0.57245803 -0.181392   -0.209235  ],[0.427542   0.219696   0.28487399]
Bed,D00839.obj,10010,19966,Only triangles,[-0.44179001 -0.39641899 -0.13621201],[0.55821002 0.401768   0.272259  ]
Bed,D00969.obj,9453,18622,Only triangles,[-0.41848701 -0.42435801 -0.23264199],[0.58151299 0.42272201 0.324431  ]
Bed,D00988.obj,8093,20293,Only triangles,[-0.52979201 -0.34575799 -0.177294  ],[0.47020799 0.330865   0.21477   ]
Bed,m945.obj,10070,19900,Only triangles,[-0.29063001 -0.328159   -0.330796  ],[0.70937002 0.35584101 0.38485101]
Bed,m946.obj,10003,19918,Only triangles,[-0.47424799 -0.245252   -0.18539   ],[0.52575201 0.26054001 0.32359901]
Bed,m947.obj,9979,19949,Only triangles,[-0.43522999 -0.36473    -0.154456  ],[0.56476998 0.426137   0.25617701]
Bed,m948.obj,10020,19884,Only triangles,[-0.35582399 -0.49552599 -0.48708799],[0.539653   0.50447398 0.47172001]
Bed,m949.obj,10005,19986,Only triangles,[-0.24568    -0.33124799 -0.58683401],[0.714046   0.31825    0.41316599]
Bed,m950.obj,10002,19940,Only triangles,[-0.50468498 -0.451848   -0.39419499],[0.49531499 0.462571   0.37515801]
Bed,m951.obj,10033,19951,Only triangles,[-0.37672201 -0.320481   -0.163315  ],[0.56008202 0.679519   0.25935599]
Bicycle,D00016.obj,10055,19921,Only triangles,[-0.50229198 -0.29297099 -0.107232  ],[0.49770799 0.41293201 0.0998846 ]
Bicycle,D00033.obj,9984,20032,Only triangles,[-0.492255   -0.25135899 -0.151067  ],[0.50774503 0.34180301 0.153733  ]
Bicycle,D00040.obj,9855,20495,Only triangles,[-0.57014102 -0.39343899 -0.174969  ],[0.42985901 0.246805   0.158613  ]
Bicycle,D00077.obj,9949,19985,Only triangles,[-0.55185097 -0.30292699 -0.17342301],[0.448149   0.37666401 0.174343  ]
Bicycle,D00078.obj,10214,19731,Only triangles,[-0.438223   -0.32606101 -0.209251  ],[0.561777 0.437846 0.18302 ]
Bicycle,D00462.obj,10316,19652,Only triangles,[-0.49944901 -0.327856   -0.135851  ],[0.50055099 0.309645   0.13407201]
Bicycle,D00514.obj,10160,19684,Only triangles,[-0.50037998 -0.32627699 -0.102864  ],[0.49961999 0.32303199 0.106007  ]
Bicycle,D00536.obj,10036,19797,Only triangles,[-0.428101   -0.33988801 -0.24361099],[0.571899   0.43384701 0.24785499]
Bicycle,D00555.obj,10318,19656,Only triangles,[-0.501638 -0.340671 -0.186652],[0.498362 0.321547 0.171369]
Bicycle,D00558.obj,10127,19468,Only triangles,[-0.48497501 -0.270078   -0.135436  ],[0.51502502 0.30625799 0.131391  ]
Bicycle,D00567.obj,9995,20034,Only triangles,[-0.465132 -0.355488 -0.146549],[0.534868   0.29878399 0.143941  ]
Bicycle,D00621.obj,10055,19921,Only triangles,[-0.49633101 -0.28802299 -0.107314  ],[0.50366902 0.407938   0.0994409 ]
Bicycle,D00708.obj,10184,19700,Only triangles,[-0.50687301 -0.37345499 -0.15858699],[0.49312699 0.389853   0.15330499]
Bicycle,D00750.obj,9974,20018,Only triangles,[-0.46309501 -0.405404   -0.153733  ],[0.53690499 0.39442801 0.154791  ]
Bicycle,D00838.obj,10177,19728,Only triangles,[-0.50620103 -0.37283701 -0.158572  ],[0.493799   0.38697201 0.15297601]
Bicycle,D00847.obj,10212,19721,Only triangles,[-0.56292599 -0.32568699 -0.209195  ],[0.43707401 0.43913299 0.183265  ]
Bicycle,D00904.obj,10029,19898,Only triangles,[-0.425192   -0.28620201 -0.103646  ],[0.574808   0.42932501 0.10463   ]
Bicycle,D00930.obj,10279,19553,Only triangles,[-0.45570901 -0.30083099 -0.20462801],[0.54429102 0.48190501 0.18524501]
Bicycle,D00931.obj,10489,19749,Only triangles,[-0.51194698 -0.31589201 -0.159481  ],[0.48805299 0.28448001 0.148739  ]
Bicycle,D00974.obj,9965,20076,Only triangles,[-0.50876403 -0.36201301 -0.119519  ],[0.491236 0.378456 0.113568]
Bicycle,m1472.obj,9920,19912,Only triangles,[-0.46625999 -0.32527301 -0.19839101],[0.53373998 0.380683   0.212896  ]
Bicycle,m1473.obj,9984,20032,Only triangles,[-0.49436101 -0.24839699 -0.152971  ],[0.50563902 0.34511    0.151831  ]
Bicycle,m1475.obj,9965,20074,Only triangles,[-0.50714701 -0.362091   -0.118274  ],[0.49285299 0.37759    0.114732  ]
Bicycle,m1476.obj,9995,20034,Only triangles,[-0.50608402 -0.365255   -0.14075699],[0.493916   0.28589299 0.149487  ]
Bicycle,m1477.obj,10186,19710,Only triangles,[-0.437273   -0.32615501 -0.20935801],[0.56272697 0.438559   0.183084  ]
Bicycle,m1478.obj,10055,19921,Only triangles,[-0.505835   -0.40517399 -0.108695  ],[0.494165   0.28998899 0.0984098 ]
Biplane,D00069.obj,9997,19995,Only triangles,[-0.50020701 -0.198636   -0.0945116 ],[0.49979299 0.31147301 0.106783  ]
Biplane,D00132.obj,10012,19978,Only triangles,[-0.48420599 -0.430758   -0.0800146 ],[0.51579398 0.23748501 0.124921  ]
Biplane,D00178.obj,4241,10723,Only triangles,[-0.44111201 -0.49355799 -0.109035  ],[0.253618   0.50644201 0.124397  ]
Biplane,D00199.obj,10092,19630,Only triangles,[-0.494142   -0.522367   -0.15160599],[0.505858   0.25411001 0.139645  ]
Biplane,D00246.obj,3743,9386,Only triangles,[-0.499643  -0.327898  -0.0674388],[0.50035697 0.190659   0.0995073 ]
Biplane,D00276.obj,9721,20015,Only triangles,[-0.53069001 -0.48705199 -0.16558699],[0.29246101 0.51294798 0.28690299]
Biplane,D00277.obj,10739,18757,Only triangles,[-0.241974   -0.53201801 -0.13046899],[0.488197   0.46798199 0.130125  ]
Biplane,D00320.obj,10225,19731,Only triangles,[-0.500184   -0.40172899 -0.083078  ],[0.499816 0.195379 0.14339 ]
Biplane,D00373.obj,9875,20393,Only triangles,[-0.40094301 -0.49633601 -0.147176  ],[0.397984   0.50366402 0.174825  ]
Biplane,D00410.obj,10019,19958,Only triangles,[-0.49869001 -0.34534001 -0.0941763 ],[0.50130999 0.176108   0.112447  ]
Biplane,D00490.obj,9443,19419,Only triangles,[-0.49579501 -0.23800001 -0.147147  ],[0.50420499 0.44292599 0.0967468 ]
Biplane,D00515.obj,10029,19890,Only triangles,[-0.47046599 -0.503901   -0.15639301],[0.40984699 0.496099   0.134846  ]
Biplane,D00601.obj,9809,19948,Only triangles,[-0.469432   -0.46698701 -0.217903  ],[0.530568   0.33535001 0.218321  ]
Biplane,D00616.obj,8938,19274,Only triangles,[-0.50056499 -0.229892   -0.0961054 ],[0.49943501 0.24328101 0.12851   ]
Biplane,D00632.obj,10007,19974,Only triangles,[-0.53909498 -0.498395   -0.110505  ],[0.246555   0.50160497 0.181521  ]
Biplane,D00634.obj,8433,17314,Only triangles,[-0.499015   -0.30420601 -0.13296799],[0.50098503 0.49414799 0.162698  ]
Biplane,D00666.obj,10002,19972,Only triangles,[-0.43739301 -0.493009   -0.13829701],[0.56260699 0.50245798 0.0855329 ]
Biplane,D00854.obj,10047,19654,Only triangles,[-0.51299298 -0.50038999 -0.122606  ],[0.20837501 0.49961001 0.140697  ]
Biplane,D00890.obj,5492,11936,Only triangles,[-0.50189    -0.57400697 -0.18402401],[0.49811    0.32891199 0.14020801]
Biplane,D00900.obj,9901,18817,Only triangles,[-0.49935201 -0.21453001 -0.107919  ],[0.50064802 0.48261201 0.107822  ]
Biplane,m1118.obj,9998,19538,Only triangles,[-0.50254101 -0.24892201 -0.0970824 ],[0.49745899 0.29238701 0.15256301]
Biplane,m1119.obj,10034,19940,Only triangles,[-0.49531001 -0.17874201 -0.163497  ],[0.50468999 0.65028    0.187043  ]
Biplane,m1120.obj,10601,19759,Only triangles,[-0.50016499 -0.57097399 -0.176889  ],[0.49983501 0.33409601 0.14673799]
Biplane,m1121.obj,10009,19988,Only triangles,[-0.57095599 -0.52382702 -0.14841101],[0.23808999 0.47617301 0.181715  ]
Biplane,m1122.obj,10052,19880,Only triangles,[-0.22948299 -0.49666101 -0.132071  ],[0.725963   0.50333899 0.17182299]
Biplane,m1123.obj,10012,19984,Only triangles,[-0.200444 -0.517546 -0.121985],[0.51179302 0.482454   0.19580799]
Biplane,m1124.obj,10000,19960,Only triangles,[-0.37573001 -0.49982899 -0.0953753 ],[0.262907   0.50017101 0.13160101]
Biplane,m1125.obj,10001,19970,Only triangles,[-0.49458799 -0.51630598 -0.15161601],[0.50541198 0.296615   0.112738  ]
Biplane,m1126.obj,10008,19984,Only triangles,[-0.44407699 -0.49626899 -0.144361  ],[0.35267299 0.50373101 0.102368  ]
Biplane,m1127.obj,10014,19982,Only triangles,[-0.53465402 -0.48873401 -0.113473  ],[0.28736401 0.51126599 0.0919183 ]
Biplane,m1128.obj,10007,19982,Only triangles,[-0.41064501 -0.49849799 -0.144568  ],[0.58935499 0.496609   0.0834448 ]
Biplane,m1129.obj,10023,19961,Only triangles,[-0.49193001 -0.20462    -0.129627  ],[0.50806999 0.50934798 0.16819   ]
Biplane,m1131.obj,10002,19976,Only triangles,[-0.38468099 -0.491593   -0.113275  ],[0.33346099 0.508407   0.101744  ]
Biplane,m1132.obj,10016,19972,Only triangles,[-0.382512   -0.49820599 -0.118823  ],[0.350326   0.50179398 0.0918272 ]
Biplane,m1133.obj,10007,19974,Only triangles,[-0.54404402 -0.496874   -0.117486  ],[0.239555   0.50312603 0.17560101]
Biplane,m1134.obj,10009,19986,Only triangles,[-0.49939901 -0.35561201 -0.0906528 ],[0.50060099 0.192908   0.052669  ]
Biplane,m1135.obj,8928,19986,Only triangles,[-0.46956599 -0.239068   -0.0971865 ],[0.53043401 0.31706399 0.0800386 ]
Biplane,m1136.obj,10010,19984,Only triangles,[-0.38808599 -0.50804198 -0.131956  ],[0.178009   0.49195799 0.0994047 ]
Biplane,m1137.obj,9982,19939,Only triangles,[-0.49795601 -0.30408299 -0.087019  ],[0.50204402 0.15782601 0.0848397 ]
Biplane,m1138.obj,9865,20000,Only triangles,[-0.34239301 -0.49834001 -0.17543399],[0.65760702 0.49904799 0.259561  ]
Biplane,m1139.obj,10133,19815,Only triangles,[-0.49956501 -0.30020601 -0.134207  ],[0.50043499 0.36680701 0.133562  ]
Biplane,m1141.obj,10001,19894,Only triangles,[-0.50003898 -0.137503   -0.0999421 ],[0.49996099 0.49473199 0.200616  ]
Biplane,m1143.obj,9900,20040,Only triangles,[-0.49996501 -0.17824601 -0.0960804 ],[0.50003499 0.332838   0.106962  ]
Biplane,m1144.obj,9990,19639,Only triangles,[-0.16618501 -0.504354   -0.108006  ],[0.56258899 0.495646   0.15670601]
Biplane,m1146.obj,10023,19895,Only triangles,[-0.45386899 -0.44669801 -0.20353299],[0.54613101 0.45319301 0.0768939 ]
Bird,D00089.obj,10000,19996,Only triangles,[-0.499064   -0.26552501 -0.10527   ],[0.50093597 0.27531099 0.134431  ]
Bird,D00113.obj,10007,19974,Only triangles,[-0.381293   -0.50305003 -0.344722  ],[0.48711801 0.49695    0.29356301]
Bird,D00164.obj,10060,19915,Only triangles,[-0.49374899 -0.188152   -0.181143  ],[0.50625098 0.34160799 0.0843698 ]
Bird,D00234.obj,10001,19980,Only triangles,[-0.50340003 -0.45344701 -0.0777701 ],[0.4966     0.33688399 0.27622899]
Bird,D00271.obj,10019,19589,Only triangles,[-0.51396298 -0.59039301 -0.133395  ],[0.35405499 0.40960699 0.105591  ]
Bird,D00284.obj,9998,20007,Only triangles,[-0.50154001 -0.276719   -0.0948196 ],[0.49845999 0.18854301 0.14138401]
Bird,D00323.obj,10006,19984,Only triangles,[-0.47962701 -0.108237   -0.0231477 ],[0.52037299 0.15721799 0.021863  ]
Bird,D00386.obj,10000,19996,Only triangles,[-0.493121  -0.188575  -0.0586699],[0.50687897 0.127819   0.0486383 ]
Bird,D00438.obj,9987,20036,Only triangles,[-0.478641   -0.27969399 -0.0509143 ],[0.52135903 0.18908601 0.0825281 ]
Bird,D00442.obj,9873,20263,Only triangles,[-0.51143998 -0.22359399 -0.30483001],[0.48855999 0.38928401 0.214775  ]
Bird,D00546.obj,9983,19910,Only triangles,[-0.48771399 -0.18448301 -0.05526   ],[0.51228601 0.157803   0.14641701]
Bird,D00599.obj,9990,20030,Only triangles,[-0.48607099 -0.21732    -0.0673366 ],[0.51392901 0.164352   0.0358631 ]
Bird,D00625.obj,9919,19886,Only triangles,[-0.47310901 -0.24368501 -0.275372  ],[0.52689099 0.41431099 0.17983299]
Bird,D00689.obj,9984,20022,Only triangles,[-0.50079799 -0.140908   -0.119726  ],[0.49920201 0.148395   0.15546399]
Bird,D00736.obj,9995,20052,Only triangles,[-0.48893699 -0.21083    -0.0624334 ],[0.51106298 0.26898    0.0825517 ]
Bird,D00762.obj,10001,19998,Only triangles,[-0.403393 -0.48363  -0.238263],[0.47731701 0.51637    0.138262  ]
Bird,D00862.obj,10001,19995,Only triangles,[-0.499062   -0.19203299 -0.17987899],[0.500938  0.288259  0.0772743]
Bird,D00922.obj,10003,19994,Only triangles,[-0.53183198 -0.487322   -0.162907  ],[0.46816799 0.283869   0.343779  ]
Bird,D00961.obj,9995,20040,Only triangles,[-0.47426599 -0.221884   -0.0487538 ],[0.52573401 0.34672999 0.0794684 ]
Bird,D00999.obj,10000,19998,Only triangles,[-0.49982801 -0.143594   -0.0615567 ],[0.50017202 0.195017   0.0838143 ]
Bird,m28.obj,10088,19767,Only triangles,[-0.51011503 -0.225088   -0.21771701],[0.489885 0.285891 0.217659]
Bird,m29.obj,10003,19994,Only triangles,[-0.63531399 -0.16709    -0.129094  ],[0.36468601 0.293744   0.13327099]
Bird,m30.obj,9921,20020,Only triangles,[-0.39191401 -0.141276   -0.17546301],[0.60808599 0.34835801 0.17582799]
Bird,m31.obj,10003,19990,Only triangles,[-0.380602 -0.244239 -0.151031],[0.619398   0.25692499 0.28893301]
Bird,m32.obj,10000,19988,Only triangles,[-0.62663299 -0.27956101 -0.167659  ],[0.37336701 0.249475   0.16804101]
Bird,m33.obj,10039,19954,Only triangles,[-0.38397899 -0.329144   -0.34265599],[0.53698498 0.670856   0.293706  ]
Bird,m34.obj,10000,19996,Only triangles,[-0.49220499 -0.271541   -0.110611  ],[0.50779498 0.27761701 0.128278  ]
Bird,m35.obj,10000,19996,Only triangles,[-0.37770799 -0.460906   -0.336373  ],[0.47455099 0.53909397 0.33716601]
Bird,m36.obj,9996,19936,Only triangles,[-0.32441601 -0.416639   -0.205649  ],[0.45287499 0.58336103 0.70119798]
Bird,m37.obj,10000,19996,Only triangles,[-0.46988401 -0.50083399 -0.25222099],[0.30027601 0.49916601 0.17300101]
Bird,m38.obj,9987,20000,Only triangles,[-0.49772999 -0.12705    -0.0468775 ],[0.50226998 0.206058   0.101883  ]
Bird,m39.obj,10005,19982,Only triangles,[-0.28097901 -0.50452399 -0.0964708 ],[0.62178499 0.49547601 0.128479  ]
Bird,m40.obj,9984,20022,Only triangles,[-0.484754   -0.15053099 -0.121344  ],[0.51524597 0.146138   0.145092  ]
Bird,m41.obj,9987,20036,Only triangles,[-0.49189699 -0.27902901 -0.048677  ],[0.50810301 0.189575   0.0834334 ]
Bird,m42.obj,8587,20029,Only triangles,[-0.13073801 -0.51063597 -0.109944  ],[0.26930299 0.489364   0.18574999]
Bird,m43.obj,8276,19994,Only triangles,[-0.48254499 -0.541502   -0.127673  ],[0.51745498 0.31336299 0.274937  ]
Bird,m44.obj,10000,19996,Only triangles,[-0.236031   -0.50305903 -0.0962695 ],[0.236211 0.496941 0.111899]
Bird,m45.obj,10002,19992,Only triangles,[-0.49849901 -0.27748099 -0.0952152 ],[0.50150102 0.188124   0.141252  ]
Bird,m47.obj,10006,19988,Only triangles,[-0.490666  -0.212817  -0.0501956],[0.50933403 0.49363601 0.0809401 ]
Bird,m48.obj,9974,19998,Only triangles,[-0.39993799 -0.14917    -0.170049  ],[0.60006201 0.28111199 0.289884  ]
Bird,m49.obj,10013,19970,Only triangles,[-0.26193601 -0.43092099 -0.34465799],[0.73806399 0.41072699 0.32560399]
Bird,m50.obj,10001,19998,Only triangles,[-0.44112399 -0.25697801 -0.204035  ],[0.55887598 0.323414   0.212293  ]
